Fichier;Titre;2e titre;Titre original;Compositeur;Auteur;Tonalité;Format;Copyright;Référence;Thème;Air du;Vol.
JEM068;Seigneur, que n'ai-je mille voix;;Lyngham;Thomas Jarman;Ruben Saillens;Sol;2x2 voix;© Domaine public;;Louange;AF051;1
JEM069;Mon âme éclate d'allégresse;Oui Dieu a fait de grandes choses;;Mélodie russe;Claire-Lise de Benoit;Solm;2x2 voix;© Ligue pour la lecture de la Bible;;Louange;;1
JEM070;À Dieu soit la gloire;Gloire à Dieu;To God be the glory;William-Howard Doane;Mlle E. Schürer;Lab;2x2 voix;© Editions Je Sème;;Louange;;1
JEM071;Dans ton amour, divin Sauveur;;And can it be;Thomas Campbell;Hector Arnera;Lab;2x2 voix;© Domaine public;;Adoration;;1
JEM072;Torrents d'amour et de grâce;;Ebenezer;Thomas John Williams;Ruben Saillens;Solm;2x2 voix;© Domaine public;;Adoration;AF352;1
JEM073;L'amour de Dieu;L'amour de Dieu de loin surpasse;The Love of God;Frederick Martin Lehman;Claire-Lise de Benoit;Mib;2x2 voix;© 1979 Lillenas Publishing/Song Solutions CopyCare/LTC;;Adoration;;1
JEM074;J'ai l'assurance;C'est mon histoire;Blessed assurance;Aline-J.-F. Knapp;Fanny J. Crosby;Ré;2x2 voix;© Domaine public;;Foi et confiance;;1
JEM075;Je sais…;Je ne sais pourquoi dans sa grâce;I know;James Mac Granahan;Georges Guillod;Mib;2x2 voix;© Editions Je Sème;;Louange;AF270;1
JEM076;O grâce merveilleuse;Nous n'avons qu'un seul sujet de gloire;Wonderful Grace of Jesus;Haldor Lillenas;Claire-Lise de Benoit;Sib;2x2 voix;© 1918 Hope Publishing Company/Small Stone Media/LTC;;Louange;;1
JEM077;Oui, le bonheur et la grâce;Pèlerin, j'errais loin de mon Père;Surely goodness and mercy;John W. Peterson;John W. Peterson;Mib;2x2 voix;© 1954 New Spring Publishing/Small Stone Media/LTC;;Adoration;;1
JEM078;Salutation de Pâques;Le Seigneur est réellement ressuscité;;Cyril Squire;Cyril Squire;Mi;2x2 voix;© 1969 Cyril Squire;;Jésus-Christ;;1
JEM079;À toi la gloire;;Thine be the glory;Georg Friedrich Haendel;Edmond Louis Budry;Mi;2x2 voix;© Domaine public;;Louange;AF118;1
JEM080;Il va venir, le Seigneur que j'adore;Gloire à toi seul, Seigneur Jésus;Oh that will be glory for me;Charles Hutchinson Gabriel;Bonne Nouvelle;Lab;2x2 voix;© Domaine public;;Louange;AF420;1
JEM081;La force est en Christ;Veux-tu briser;There is Power in the Blood;Lewis Edgar Jones;Georges Guillod;Sib;2x2 voix;© Editions Je Sème;;Combat spirituel;AF609;1
JEM082;Viens et vois;Tout est mirage;;Mélodie russe;Claire-Lise de Benoit;Mim;2x2 voix;© 1961 Ligue pour la lecture de la Bible;;Exhortation;;1
JEM083;Entre tes mains j'abandonne;Oui, prends tout Seigneur !;I surrender all;Winfield Scott Weeden;Charles Rochedieu;Mi;2x2 voix;;;Consécration;AF292;1
JEM084;Tel que je suis sans rien à moi;;Woodworth;W. B. Bradbury;Charlotte Elliot;Mib;2x2 voix;© Domaine public;;Appel;AF258;1
JEM085;Consécration;A toi, Seigneur;;Claire-Lise de Benoit;Claire-Lise de Benoit;Fa;2x2 voix;© Ligue pour la lecture de la Bible;;Consécration;;1
JEM086;C'est un rempart que notre Dieu;;Ein feste Burg ist unser Gott;Martin Luther;Ascan Henri Theodore Lutteroth;Ré;2x2 voix;© Domaine public;;Combat spirituel;AF654;1
JEM087;Le saint combat;Pour porter le glaive;;C. Roberts;Claire-Lise de Benoit;Lab;2x2 voix;© Ligue pour la lecture de la Bible;;Combat spirituel;;1
JEM088;Veille et prie;;;Air d'avant 1675;J. Siordet-Ruckert;Mib;2x2 voix;© Domaine public;;Exhortation;;1
JEM089;Oh ! Que ton joug est facile;;Now, on land and sea descending;Dimitri Bortniansky;Mme de Maison;Mib;2x2 voix;© Domaine public;;Consécration;AF321;1
